Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 2.9664e+10 2.6980e-03 1.1465e-01 7.7554e-03 1.8379e-02 5.1649e-03 4.3804e-02
1.0106e-08 2.9664e+10 5.0403e-01 9.4009e-02 6.5758e-03 2.2809e-02 3.8081e-03 4.6344e-02
2.0212e-08 1.4832e+10 1.0071e+00 8.5817e-02 3.7883e-03 3.0034e-02 2.2246e-03 7.1613e-02
3.0318e-08 9.8881e+09 5.0751e-01 1.4569e-01 1.1799e-03 2.9594e-02 3.4358e-03 1.1841e-01
4.0425e-08 7.4161e+09 2.7100e-03 2.1358e-01 7.2485e-04 2.0340e-02 6.0923e-03 1.3146e-01
5.0531e-08 5.9329e+09 5.0063e-01 2.0807e-01 3.4841e-03 1.2029e-02 7.5772e-03 9.0270e-02
6.0637e-08 4.9441e+09 1.0072e+00 1.6223e-01 7.9615e-03 1.1947e-02 7.6717e-03 5.6218e-02
7.0743e-08 4.2378e+09 5.1106e-01 1.5524e-01 1.0211e-02 1.7072e-02 6.2919e-03 6.6206e-02
8.0849e-08 3.7080e+09 2.7459e-03 1.7236e-01 8.1119e-03 2.5693e-02 2.9502e-03 6.8761e-02
9.0955e-08 3.2960e+09 4.9731e-01 1.4743e-01 5.4309e-03 4.7576e-02 9.7249e-04 3.5440e-02
1.0106e-07 2.9664e+09 1.0075e+00 9.6089e-02 8.0857e-03 8.7497e-02 5.3259e-03 3.2684e-02
1.1117e-07 2.6968e+09 5.1470e-01 8.9949e-02 1.5417e-02 1.2285e-01 1.3154e-02 9.6264e-02
1.2127e-07 2.4720e+09 2.8058e-03 1.2883e-01 1.9286e-02 1.1865e-01 1.4695e-02 1.3963e-01
1.3138e-07 2.2819e+09 4.9407e-01 1.4666e-01 1.4363e-02 7.0926e-02 7.9285e-03 9.2013e-02
1.4149e-07 2.1189e+09 1.0079e+00 1.2322e-01 5.4737e-03 1.8304e-02 3.3013e-03 2.9711e-02
1.5159e-07 1.9776e+09 5.1842e-01 9.2424e-02 8.8656e-04 2.5860e-04 8.0331e-03 5.2273e-02
1.6170e-07 1.8540e+09 2.8898e-03 6.2054e-02 1.5122e-03 1.6529e-02 1.4997e-02 1.1558e-01
1.7180e-07 1.7450e+09 4.9090e-01 2.2438e-02 1.9635e-03 3.7541e-02 1.4819e-02 1.1552e-01
1.8191e-07 1.6480e+09 1.0084e+00 1.2685e-02 5.0810e-04 4.2488e-02 1.0168e-02 6.3308e-02
1.9202e-07 1.5613e+09 5.2223e-01 7.5104e-02 1.6601e-03 3.4063e-02 8.6969e-03 4.4288e-02
2.0212e-07 1.4832e+09 2.9978e-03 1.5658e-01 7.9739e-03 2.4031e-02 9.4586e-03 6.1973e-02
2.1223e-07 1.4126e+09 4.8781e-01 1.5821e-01 1.4546e-02 1.8395e-02 6.9311e-03 5.6471e-02
2.2234e-07 1.3484e+09 1.0091e+00 7.9243e-02 1.4586e-02 1.5306e-02 2.7037e-03 3.3040e-02
2.3244e-07 1.2898e+09 5.2612e-01 1.3946e-02 7.8425e-03 1.0021e-02 2.3185e-03 4.3051e-02
2.4255e-07 1.2360e+09 3.1300e-03 8.2074e-03 1.0669e-03 2.8040e-03 4.6025e-03 7.0258e-02
2.5265e-07 1.1866e+09 4.8479e-01 1.9937e-02 1.1215e-03 2.3309e-03 4.2977e-03 5.6860e-02
2.6276e-07 1.1409e+09 1.0099e+00 2.3893e-02 8.5248e-03 1.4255e-02 2.0879e-03 1.6473e-02
