Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8517e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.7033e+02 6.1365e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1555e+03 3.8875e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5407e+03 -4.1118e-02 -5.1137e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9258e+03 -1.2233e-01 -1.5172e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3110e+03 -1.6968e-01 1.0654e-03 -3.5512e-06 -3.5512e-06 0.0000e+00 0.0000e+00
2.6962e+03 -9.4225e-02 1.5661e-02 -2.0598e-05 -2.0598e-05 8.8780e-07 -8.8780e-07
3.0813e+03 1.2595e-01 4.6700e-02 -3.7151e-05 -3.7274e-05 6.5304e-06 -6.1852e-06
3.4665e+03 3.9071e-01 8.1819e-02 7.3531e-05 7.2456e-05 1.8621e-05 -1.5591e-05
3.8517e+03 5.1475e-01 8.8605e-02 6.2226e-04 6.1832e-04 4.6075e-06 6.6060e-06
4.2368e+03 3.4963e-01 3.2551e-02 1.9604e-03 1.9554e-03 -1.6496e-04 1.7979e-04
4.6220e+03 -8.9221e-02 -8.9543e-02 3.9951e-03 4.0149e-03 -7.4856e-04 6.9492e-04
5.0072e+03 -5.9069e-01 -2.2612e-01 5.6118e-03 5.7473e-03 -2.0080e-03 1.6275e-03
5.3923e+03 -8.5415e-01 -2.8503e-01 4.6808e-03 5.1251e-03 -3.8475e-03 2.5805e-03
5.7775e+03 -6.7810e-01 -1.8935e-01 -7.4845e-04 2.6340e-04 -5.3803e-03 2.4501e-03
6.1627e+03 -1.0763e-01 5.6913e-02 -1.0336e-02 -8.6252e-03 -4.8758e-03 -1.8735e-04
6.5478e+03 5.6690e-01 3.4360e-01 -1.9916e-02 -1.7850e-02 -5.5804e-04 -5.8387e-03
6.9330e+03 9.7226e-01 5.0171e-01 -2.2457e-02 -2.1159e-02 7.8017e-03 -1.2611e-02
7.3182e+03 8.8092e-01 4.0553e-01 -1.2125e-02 -1.3399e-02 1.7434e-02 -1.5918e-02
7.7033e+03 3.4505e-01 6.6274e-02 1.0476e-02 4.9459e-03 2.2714e-02 -1.0629e-02
8.0885e+03 -3.6462e-01 -3.5207e-01 3.5792e-02 2.5823e-02 1.7765e-02 4.7579e-03
8.4737e+03 -8.9064e-01 -6.1715e-01 4.8709e-02 3.6835e-02 6.6184e-04 2.4658e-02
8.8588e+03 -9.6805e-01 -5.6479e-01 3.7303e-02 2.8770e-02 -2.3406e-02 3.7281e-02
9.2440e+03 -5.5786e-01 -2.0257e-01 1.9574e-03 2.8405e-03 -4.2902e-02 3.1232e-02
9.6292e+03 1.3332e-01 2.8543e-01 -4.1768e-02 -2.7836e-02 -4.5461e-02 4.6428e-03
1.0014e+04 7.5734e-01 6.3799e-01 -6.9983e-02 -4.4772e-02 -2.5585e-02 -3.0021e-02
1.0399e+04 9.9990e-01 6.6190e-01 -6.4072e-02 -3.5393e-02 1.0391e-02 -5.1109e-02
1.0785e+04 7.3882e-01 3.3909e-01 -2.2884e-02 -1.9971e-03 4.5998e-02 -4.1881e-02
1.1170e+04 1.0560e-01 -1.6370e-01 3.4617e-02 3.7794e-02 6.2943e-02 -4.5534e-03
1.1555e+04 -5.8081e-01 -5.8504e-01 7.8693e-02 6.0085e-02 5.1382e-02 3.7252e-02
1.1940e+04 -9.7467e-01 -7.0708e-01 8.5018e-02 4.8295e-02 1.5794e-02 5.2560e-02
1.2325e+04 -8.7760e-01 -4.6771e-01 4.8243e-02 3.5415e-03 -2.7242e-02 2.5976e-02
1.2710e+04 -3.3849e-01 9.8978e-03 -1.4766e-02 -5.4028e-02 -5.7912e-02 -2.7150e-02
1.3096e+04 3.7111e-01 4.8225e-01 -7.3445e-02 -9.3907e-02 -6.3121e-02 -6.7182e-02
1.3481e+04 8.9379e-01 7.0986e-01 -9.8727e-02 -9.0026e-02 -4.1909e-02 -5.7275e-02
1.3866e+04 9.6627e-01 5.7777e-01 -7.7035e-02 -3.5118e-02 -4.2816e-03 6.7091e-03
1.4251e+04 5.5205e-01 1.5299e-01 -1.6709e-02 5.2040e-02 3.4396e-02 8.6592e-02
1.4636e+04 -1.4023e-01 -3.4942e-01 5.5371e-02 1.3117e-01 5.9566e-02 1.2349e-01
1.5021e+04 -7.6188e-01 -6.7478e-01 1.0525e-01 1.5729e-01 6.1752e-02 7.8899e-02
1.5407e+04 -9.9978e-01 -6.5776e-01 1.0700e-01 1.0442e-01 3.8918e-02 -3.3094e-02
1.5792e+04 -7.3410e-01 -3.0690e-01 5.5675e-02 -1.5267e-02 -2.2523e-03 -1.4762e-01
1.6177e+04 -9.8660e-02 1.9921e-01 -2.7912e-02 -1.4919e-01 -4.6670e-02 -1.8767e-01
1.6562e+04 5.8647e-01 6.0284e-01 -1.0427e-01 -2.2573e-01 -7.4635e-02 -1.1569e-01
1.6947e+04 9.7621e-01 6.9906e-01 -1.3317e-01 -1.9219e-01 -6.9994e-02 3.6867e-02
1.7332e+04 8.7423e-01 4.4048e-01 -9.5003e-02 -4.9669e-02 -2.9878e-02 1.8403e-01
1.7718e+04 3.3192e-01 -3.9469e-02 -4.1172e-03 1.3793e-01 3.0086e-02 2.3651e-01
1.8103e+04 -3.7758e-01 -4.9608e-01 9.5084e-02 2.7177e-01 8.0531e-02 1.5735e-01
1.8488e+04 -8.9690e-01 -6.9894e-01 1.4978e-01 2.7148e-01 9.2924e-02 -1.3651e-02
1.8873e+04 -9.6445e-01 -5.4829e-01 1.2765e-01 1.2457e-01 5.6574e-02 -1.8233e-01
1.9258e+04 -5.4622e-01 -1.2340e-01 3.6634e-02 -9.9446e-02 -1.2669e-02 -2.5505e-01
1.9643e+04 1.4714e-01 3.5996e-01 -7.7044e-02 -2.8255e-01 -7.8906e-02 -1.9223e-01
2.0029e+04 7.6638e-01 6.5938e-01 -1.5293e-01 -3.2271e-01 -1.0549e-01 -2.9180e-02
2.0414e+04 9.9961e-01 6.2685e-01 -1.4948e-01 -1.9268e-01 -7.6171e-02 1.4592e-01
2.0799e+04 7.2934e-01 2.8103e-01 -6.7355e-02 4.2085e-02 -5.2913e-03 2.4173e-01
