Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 2.9560e+07 2.1942e-24 1.4456e+00 2.5837e-30 1.3066e-25 1.4369e-23 1.3526e-23
1.0142e-05 2.9560e+07 2.9623e-03 1.4511e+00 2.5834e-30 1.3065e-25 1.4368e-23 1.3525e-23
2.0283e-05 1.4780e+07 1.1978e-02 1.4675e+00 2.5826e-30 1.3060e-25 1.4367e-23 1.3524e-23
3.0425e-05 9.8534e+06 2.7431e-02 1.4947e+00 2.5812e-30 1.3053e-25 1.4365e-23 1.3522e-23
4.0567e-05 7.3901e+06 4.9952e-02 1.5326e+00 2.5792e-30 1.3042e-25 1.4362e-23 1.3520e-23
5.0709e-05 5.9121e+06 8.0407e-02 1.5809e+00 2.5767e-30 1.3029e-25 1.4359e-23 1.3516e-23
6.0850e-05 4.9267e+06 1.1988e-01 1.6394e+00 2.5737e-30 1.3012e-25 1.4355e-23 1.3512e-23
7.0992e-05 4.2229e+06 1.6962e-01 1.7074e+00 2.5701e-30 1.2993e-25 1.4350e-23 1.3507e-23
8.1134e-05 3.6950e+06 2.3102e-01 1.7843e+00 2.5660e-30 1.2971e-25 1.4344e-23 1.3502e-23
9.1275e-05 3.2845e+06 3.0556e-01 1.8693e+00 2.5614e-30 1.2946e-25 1.4337e-23 1.3496e-23
1.0142e-04 2.9560e+06 3.9469e-01 1.9612e+00 2.5563e-30 1.2919e-25 1.4330e-23 1.3489e-23
1.1156e-04 2.6873e+06 4.9977e-01 2.0586e+00 2.5507e-30 1.2889e-25 1.4322e-23 1.3481e-23
1.2170e-04 2.4634e+06 6.2197e-01 2.1600e+00 2.5446e-30 1.2857e-25 1.4313e-23 1.3473e-23
1.3184e-04 2.2739e+06 7.6210e-01 2.2634e+00 2.5381e-30 1.2822e-25 1.4304e-23 1.3464e-23
1.4198e-04 2.1115e+06 9.2054e-01 2.3666e+00 2.5312e-30 1.2785e-25 1.4294e-23 1.3454e-23
1.5213e-04 1.9707e+06 1.0971e+00 2.4675e+00 2.5238e-30 1.2745e-25 1.4283e-23 1.3443e-23
1.6227e-04 1.8475e+06 1.2908e+00 2.5633e+00 2.5161e-30 1.2704e-25 1.4272e-23 1.3432e-23
1.7241e-04 1.7388e+06 1.5001e+00 2.6517e+00 2.5080e-30 1.2661e-25 1.4260e-23 1.3421e-23
1.8255e-04 1.6422e+06 1.7223e+00 2.7298e+00 2.4995e-30 1.2615e-25 1.4247e-23 1.3409e-23
1.9269e-04 1.5558e+06 1.9543e+00 2.7953e+00 2.4908e-30 1.2568e-25 1.4234e-23 1.3396e-23
2.0283e-04 1.4780e+06 2.1916e+00 2.8458e+00 2.4817e-30 1.2520e-25 1.4220e-23 1.3383e-23
