Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 4.4341e+07 1.0968e-04 2.3784e-60 7.5808e-31 4.5206e-15 5.4158e-67 2.4733e-47
6.7611e-06 4.4341e+07 5.1322e-04 1.7806e-59 7.7590e-31 7.0250e-13 5.4158e-67 2.4733e-47
1.3522e-05 2.2170e+07 1.7295e-03 6.1628e-59 8.2929e-31 2.7785e-12 5.4157e-67 2.4732e-47
2.0283e-05 1.4780e+07 3.7758e-03 1.2685e-58 9.1803e-31 6.1796e-12 5.4155e-67 2.4731e-47
2.7045e-05 1.1085e+07 6.6805e-03 2.0307e-58 1.0417e-30 1.0820e-11 5.4153e-67 2.4730e-47
3.3806e-05 8.8681e+06 1.0484e-02 2.7811e-58 1.1999e-30 1.6584e-11 5.4151e-67 2.4728e-47
4.0567e-05 7.3901e+06 1.5237e-02 3.3999e-58 1.3917e-30 2.3334e-11 5.4147e-67 2.4726e-47
4.7328e-05 6.3344e+06 2.1004e-02 3.7882e-58 1.6163e-30 3.0913e-11 5.4144e-67 2.4723e-47
5.4089e-05 5.5426e+06 2.7858e-02 3.8838e-58 1.8726e-30 3.9155e-11 5.4139e-67 2.4720e-47
6.0850e-05 4.9267e+06 3.5886e-02 3.6710e-58 2.1593e-30 4.7894e-11 5.4134e-67 2.4717e-47
6.7611e-05 4.4341e+06 4.5186e-02 3.1839e-58 2.4748e-30 5.6973e-11 5.4129e-67 2.4713e-47
7.4373e-05 4.0310e+06 5.5865e-02 2.5009e-58 2.8174e-30 6.6257e-11 5.4123e-67 2.4709e-47
8.1134e-05 3.6950e+06 6.8044e-02 1.7335e-58 3.1851e-30 7.5643e-11 5.4116e-67 2.4705e-47
8.7895e-05 3.4108e+06 8.1852e-02 1.0092e-58 3.5754e-30 8.5074e-11 5.4109e-67 2.4700e-47
9.4656e-05 3.1672e+06 9.7430e-02 4.5294e-59 3.9860e-30 9.4547e-11 5.4102e-67 2.4695e-47
