Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.8540e+02 1.7407e-25 5.3770e-07 9.7437e-06 1.7269e-06 7.5269e-07 1.3047e-06
1.6170e+00 1.8540e+02 4.8365e-05 5.3809e-07 9.7845e-06 1.7690e-06 7.5902e-07 1.3236e-06
3.2340e+00 9.2701e+01 1.9348e-04 5.3878e-07 9.8552e-06 1.8165e-06 7.6982e-07 1.3348e-06
4.8509e+00 6.1801e+01 4.3539e-04 5.3900e-07 9.8709e-06 1.7556e-06 7.7172e-07 1.2767e-06
6.4679e+00 4.6351e+01 7.7418e-04 5.3864e-07 9.8223e-06 1.6136e-06 7.6323e-07 1.1773e-06
8.0849e+00 3.7080e+01 1.2100e-03 5.3828e-07 9.7711e-06 1.5203e-06 7.5417e-07 1.1217e-06
9.7019e+00 3.0900e+01 1.7429e-03 5.3829e-07 9.7562e-06 1.5280e-06 7.5099e-07 1.1375e-06
1.1319e+01 2.6486e+01 2.3732e-03 5.3847e-07 9.7565e-06 1.5669e-06 7.5065e-07 1.1728e-06
1.2936e+01 2.3175e+01 3.1011e-03 5.3856e-07 9.7456e-06 1.5753e-06 7.4893e-07 1.1858e-06
1.4553e+01 2.0600e+01 3.9267e-03 5.3868e-07 9.7338e-06 1.5777e-06 7.4723e-07 1.1937e-06
1.6170e+01 1.8540e+01 4.8505e-03 5.3899e-07 9.7402e-06 1.6121e-06 7.4833e-07 1.2220e-06
1.7787e+01 1.6855e+01 5.8727e-03 5.3941e-07 9.7566e-06 1.6566e-06 7.5092e-07 1.2550e-06
1.9404e+01 1.5450e+01 6.9936e-03 5.3980e-07 9.7655e-06 1.6740e-06 7.5230e-07 1.2680e-06
2.1021e+01 1.4262e+01 8.2137e-03 5.4017e-07 9.7704e-06 1.6763e-06 7.5297e-07 1.2698e-06
2.2638e+01 1.3243e+01 9.5334e-03 5.4067e-07 9.7853e-06 1.6950e-06 7.5503e-07 1.2820e-06
2.4255e+01 1.2360e+01 1.0953e-02 5.4125e-07 9.8074e-06 1.7229e-06 7.5809e-07 1.2995e-06
2.5872e+01 1.1588e+01 1.2473e-02 5.4181e-07 9.8237e-06 1.7321e-06 7.6016e-07 1.3038e-06
2.7489e+01 1.0906e+01 1.4095e-02 5.4235e-07 9.8347e-06 1.7263e-06 7.6130e-07 1.2976e-06
2.9106e+01 1.0300e+01 1.5818e-02 5.4296e-07 9.8512e-06 1.7309e-06 7.6319e-07 1.2984e-06
3.0723e+01 9.7580e+00 1.7643e-02 5.4365e-07 9.8736e-06 1.7461e-06 7.6589e-07 1.3062e-06
3.2340e+01 9.2701e+00 1.9571e-02 5.4433e-07 9.8918e-06 1.7496e-06 7.6786e-07 1.3061e-06
3.3957e+01 8.8287e+00 2.1602e-02 5.4498e-07 9.9043e-06 1.7398e-06 7.6888e-07 1.2971e-06
3.5574e+01 8.4274e+00 2.3738e-02 5.4569e-07 9.9201e-06 1.7369e-06 7.7032e-07 1.2930e-06
3.7191e+01 8.0610e+00 2.5978e-02 5.4648e-07 9.9411e-06 1.7453e-06 7.7250e-07 1.2967e-06
3.8808e+01 7.7251e+00 2.8324e-02 5.4726e-07 9.9595e-06 1.7472e-06 7.7421e-07 1.2963e-06
