Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.8540e+02 5.9811e-02 6.7954e-08 1.3052e-06 3.8198e-07 1.1263e-07 2.7634e-07
1.6170e+00 1.8540e+02 5.9603e-02 1.0998e-07 2.0871e-06 5.5282e-07 1.7600e-07 4.0180e-07
3.2340e+00 9.2701e+01 6.0016e-02 1.5378e-07 2.9023e-06 7.3386e-07 2.4210e-07 5.3487e-07
4.8509e+00 6.1801e+01 6.0902e-02 1.1365e-07 2.1556e-06 5.7612e-07 1.8163e-07 4.1960e-07
6.4679e+00 4.6351e+01 6.0002e-02 6.8202e-08 1.3080e-06 3.8906e-07 1.1274e-07 2.8326e-07
8.0849e+00 3.7080e+01 5.8598e-02 1.0631e-07 2.0142e-06 5.3158e-07 1.6960e-07 3.8844e-07
9.7019e+00 3.0900e+01 6.0215e-02 1.5324e-07 2.8879e-06 7.1519e-07 2.4036e-07 5.2231e-07
1.1319e+01 2.6486e+01 6.2482e-02 1.1726e-07 2.2218e-06 5.7750e-07 1.8680e-07 4.1976e-07
1.2936e+01 2.3175e+01 6.0574e-02 6.9008e-08 1.3254e-06 3.9256e-07 1.1443e-07 2.8415e-07
1.4553e+01 2.0600e+01 5.7901e-02 1.0283e-07 1.9515e-06 5.2707e-07 1.6486e-07 3.8468e-07
1.6170e+01 1.8540e+01 6.0615e-02 1.5229e-07 2.8691e-06 7.1763e-07 2.3883e-07 5.2535e-07
1.7787e+01 1.6855e+01 6.4328e-02 1.2074e-07 2.2845e-06 5.8916e-07 1.9162e-07 4.2962e-07
1.9404e+01 1.5450e+01 6.1528e-02 7.0283e-08 1.3489e-06 3.9307e-07 1.1623e-07 2.8436e-07
2.1021e+01 1.4262e+01 5.7527e-02 9.9548e-08 1.8920e-06 5.1466e-07 1.6025e-07 3.7450e-07
2.2638e+01 1.3243e+01 6.1218e-02 1.5092e-07 2.8447e-06 7.1719e-07 2.3708e-07 5.2465e-07
2.4255e+01 1.2360e+01 6.6427e-02 1.2406e-07 2.3457e-06 6.0525e-07 1.9656e-07 4.4209e-07
2.5872e+01 1.1588e+01 6.2861e-02 7.2021e-08 1.3804e-06 3.9842e-07 1.1866e-07 2.8878e-07
2.7489e+01 1.0906e+01 5.7492e-02 9.6500e-08 1.8361e-06 5.0071e-07 1.5576e-07 3.6377e-07
2.9106e+01 1.0300e+01 6.2027e-02 1.4914e-07 2.8131e-06 7.1156e-07 2.3470e-07 5.1978e-07
3.0723e+01 9.7580e+00 6.8762e-02 1.2716e-07 2.4037e-06 6.2041e-07 2.0136e-07 4.5324e-07
3.2340e+01 9.2701e+00 6.4571e-02 7.4204e-08 1.4205e-06 4.0777e-07 1.2186e-07 2.9616e-07
3.3957e+01 8.8287e+00 5.7816e-02 9.3771e-08 1.7853e-06 4.8854e-07 1.5162e-07 3.5486e-07
3.5574e+01 8.4274e+00 6.3048e-02 1.4698e-07 2.7740e-06 7.0266e-07 2.3164e-07 5.1266e-07
3.7191e+01 8.0610e+00 7.1319e-02 1.2997e-07 2.4567e-06 6.3313e-07 2.0578e-07 4.6221e-07
3.8808e+01 7.7251e+00 6.6656e-02 7.6813e-08 1.4688e-06 4.1956e-07 1.2580e-07 3.0509e-07
4.0425e+01 7.4161e+00 5.8517e-02 9.1434e-08 1.7416e-06 4.7910e-07 1.4804e-07 3.4821e-07
4.2042e+01 7.1309e+00 6.4291e-02 1.4450e-07 2.7282e-06 6.9223e-07 2.2797e-07 5.0473e-07
