Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
0.0000e+00 1.8540e+02 1.7407e-25 5.1081e-13 3.7016e-05 1.3952e-07 6.5156e-06 3.6202e-06
1.6170e+00 1.8540e+02 4.8365e-05 5.0598e-13 3.7064e-05 1.2945e-07 6.5852e-06 3.6942e-06
3.2340e+00 9.2701e+01 1.9348e-04 5.1412e-13 3.7207e-05 1.2129e-07 6.6580e-06 3.7581e-06
4.8509e+00 6.1801e+01 4.3539e-04 5.2656e-13 3.7385e-05 1.4409e-07 6.5335e-06 3.5983e-06
6.4679e+00 4.6351e+01 7.7418e-04 4.9842e-13 3.7468e-05 1.8419e-07 6.2547e-06 3.3033e-06
8.0849e+00 3.7080e+01 1.2100e-03 4.8213e-13 3.7404e-05 2.0387e-07 6.0618e-06 3.1442e-06
9.7019e+00 3.0900e+01 1.7429e-03 5.4008e-13 3.7302e-05 1.9534e-07 6.0734e-06 3.1936e-06
1.1319e+01 2.6486e+01 2.3732e-03 5.6123e-13 3.7270e-05 1.8385e-07 6.1692e-06 3.2823e-06
1.2936e+01 2.3175e+01 3.1011e-03 4.6610e-13 3.7268e-05 1.8336e-07 6.2068e-06 3.3000e-06
1.4553e+01 2.0600e+01 3.9267e-03 4.4143e-13 3.7208e-05 1.8138e-07 6.2100e-06 3.3210e-06
1.6170e+01 1.8540e+01 4.8505e-03 5.8896e-13 3.7134e-05 1.6916e-07 6.2697e-06 3.4098e-06
1.7787e+01 1.6855e+01 5.8727e-03 6.2913e-13 3.7138e-05 1.5778e-07 6.3700e-06 3.4976e-06
1.9404e+01 1.5450e+01 6.9936e-03 4.2808e-13 3.7193e-05 1.5603e-07 6.4246e-06 3.5198e-06
2.1021e+01 1.4262e+01 8.2137e-03 3.7607e-13 3.7202e-05 1.5562e-07 6.4279e-06 3.5269e-06
2.2638e+01 1.3243e+01 9.5334e-03 6.5534e-13 3.7179e-05 1.4884e-07 6.4520e-06 3.5761e-06
2.4255e+01 1.2360e+01 1.0953e-02 7.4950e-13 3.7220e-05 1.4263e-07 6.5136e-06 3.6268e-06
2.5872e+01 1.1588e+01 1.2473e-02 4.0728e-13 3.7317e-05 1.4392e-07 6.5514e-06 3.6271e-06
2.7489e+01 1.0906e+01 1.4095e-02 2.8572e-13 3.7372e-05 1.4655e-07 6.5413e-06 3.6117e-06
2.9106e+01 1.0300e+01 1.5818e-02 7.3246e-13 3.7379e-05 1.4376e-07 6.5369e-06 3.6309e-06
3.0723e+01 9.7580e+00 1.7643e-02 9.4028e-13 3.7431e-05 1.4079e-07 6.5701e-06 3.6581e-06
3.2340e+01 9.2701e+00 1.9571e-02 4.3445e-13 3.7545e-05 1.4394e-07 6.5973e-06 3.6471e-06
3.3957e+01 8.8287e+00 2.1602e-02 1.7930e-13 3.7627e-05 1.4831e-07 6.5835e-06 3.6213e-06
3.5574e+01 8.4274e+00 2.3738e-02 8.1371e-13 3.7647e-05 1.4753e-07 6.5655e-06 3.6262e-06
3.7191e+01 8.0610e+00 2.5978e-02 1.2168e-12 3.7697e-05 1.4582e-07 6.5833e-06 3.6441e-06
3.8808e+01 7.7251e+00 2.8324e-02 5.4673e-13 3.7814e-05 1.4942e-07 6.6082e-06 3.6323e-06
4.0425e+01 7.4161e+00 3.0776e-02 7.6488e-14 3.7911e-05 1.5442e-07 6.5990e-06 3.6058e-06
4.2042e+01 7.1309e+00 3.3336e-02 8.9475e-13 3.7940e-05 1.5445e-07 6.5782e-06 3.6066e-06
4.3659e+01 6.8668e+00 3.6004e-02 1.5908e-12 3.7983e-05 1.5286e-07 6.5890e-06 3.6236e-06
